,City,Latitude,Longitude
0,New Delhi,28.6139,77.209
1,Mumbai,19.076,72.8777
2,Bangalore,12.9716,77.5946
3,Kolkata,22.5726,88.3639
4,Hyderabad,17.385,78.4867
5,Chennai,13.0827,80.2707
6,Agartala,23.8315,91.2868
